"","sku","unitcost","quantity","date","PO.no"
"3235","309",2.33,3609,"2016-01-31",5910
"3236","31",4.26,3893,"2016-01-31",19863
"3237","310",7.89,2878,"2016-01-31",2679
"3238","311",2.91,2406,"2016-01-31",21928
"3239","312",2.91,2916,"2016-01-31",16347
"3240","313",8.2,2575,"2016-01-31",10308
"3241","314",6.28,2795,"2016-01-31",862
"3242","315",3.15,3002,"2016-01-31",7572
"3243","316",4.44,3182,"2016-01-31",3213
"3244","317",9.36,2376,"2016-01-31",22053
"3245","318",7.57,2719,"2016-01-31",7605
"3246","319",1.79,2374,"2016-01-31",18308
"3247","32",7.47,2860,"2016-01-31",9385
"3248","320",6.34,2656,"2016-01-31",19069
"3249","321",8.03,3803,"2016-01-31",6586
"3250","322",3.01,2431,"2016-01-31",23234
"3251","323",8.65,2861,"2016-01-31",18803
"3252","324",5.44,2717,"2016-01-31",7578
"3253","325",6.11,3878,"2016-01-31",1389
"3254","326",6.37,2067,"2016-01-31",14013
"3255","327",5.3,2533,"2016-01-31",20831
"3256","328",10.34,2579,"2016-01-31",18337
"3257","329",0.5,2984,"2016-01-31",19805
"3258","33",4.66,3465,"2016-01-31",13976
"3259","330",4.35,2368,"2016-01-31",8022
"3260","331",6.42,2885,"2016-01-31",6039
"3261","332",7.54,3202,"2016-01-31",9388
"3262","333",12.01,3215,"2016-01-31",16925
"3263","334",0.82,3716,"2016-01-31",4034
"3264","335",8.8,2152,"2016-01-31",16540
"3265","336",10.5,2370,"2016-01-31",18491
"3266","337",9.96,2861,"2016-01-31",6575
"3267","338",0.88,3152,"2016-01-31",1243
"3268","339",5.41,2971,"2016-01-31",5359
"3269","34",8.4,3674,"2016-01-31",18242
"3270","340",5.07,2836,"2016-01-31",15806
"3271","341",6.4,2298,"2016-01-31",10708
"3272","342",5.49,2075,"2016-01-31",2336
"3273","343",3.63,3239,"2016-01-31",14669
"3274","344",7.75,2880,"2016-01-31",10687
"3275","345",1.81,3103,"2016-01-31",15249
"3276","346",6.21,2630,"2016-01-31",17847
"3277","347",5.27,3150,"2016-01-31",1030
"3278","348",1.12,2547,"2016-01-31",17333
"3279","349",6.99,3212,"2016-01-31",275
"3280","35",0.56,3270,"2016-01-31",4463
"3281","350",10.61,2178,"2016-01-31",16177
"3282","351",3.63,3190,"2016-01-31",23365
"3283","352",4.68,2940,"2016-01-31",5884
"3284","353",4.5,3093,"2016-01-31",23577
"3285","354",0.31,1953,"2016-01-31",23312
"3286","355",7.91,3095,"2016-01-31",19652
"3287","356",10.4,2454,"2016-01-31",5217
"3288","357",7.11,2737,"2016-01-31",6679
"3289","358",7.03,3514,"2016-01-31",6946
"3290","359",5.46,3258,"2016-01-31",12026
"3291","36",12.17,3201,"2016-01-31",1081
"3292","360",6.28,2397,"2016-01-31",8003
"3293","361",9.33,2788,"2016-01-31",17439
"3294","362",5.85,3898,"2016-01-31",16178
"3295","363",7.72,2806,"2016-01-31",4618
"3296","364",6.99,3004,"2016-01-31",7037
"3297","365",7.84,2993,"2016-01-31",10488
"3298","366",5.82,2859,"2016-01-31",23474
"3299","367",10.12,3178,"2016-01-31",3906
"3300","368",5.81,3080,"2016-01-31",17962
"3301","369",10.2,3906,"2016-01-31",458
"3302","37",11.18,3739,"2016-01-31",13013
"3303","370",9.07,3715,"2016-01-31",22820
"3304","371",8.18,3507,"2016-01-31",12738
"3305","372",0.25,4145,"2016-01-31",9264
"3306","373",3.04,3714,"2016-01-31",17007
"3307","374",2.04,3924,"2016-01-31",126
"3308","375",6.41,2106,"2016-01-31",2876
"3309","376",12.18,2605,"2016-01-31",6574
"3310","377",5.78,2052,"2016-01-31",13672
"3311","378",3.43,2170,"2016-01-31",13074
"3312","379",3.55,2697,"2016-01-31",17281
"3313","38",2.22,3226,"2016-01-31",6386
"3314","380",5.57,3159,"2016-01-31",3540
"3315","381",4.97,3767,"2016-01-31",19100
"3316","382",5.59,3099,"2016-01-31",21342
"3317","383",1.64,2612,"2016-01-31",22516
"3318","384",5.65,3436,"2016-01-31",15991
"3319","385",2.13,3726,"2016-01-31",16413
"3320","386",9.2,2914,"2016-01-31",22465
"3321","387",1.58,2766,"2016-01-31",18326
"3322","388",5.48,1935,"2016-01-31",20944
"3323","389",0.08,3631,"2016-01-31",20343
"3324","39",4.64,3656,"2016-01-31",1557
"3325","390",8.76,2503,"2016-01-31",10244
"3326","391",3.43,2029,"2016-01-31",19030
"3327","392",14.06,3006,"2016-01-31",13084
"3328","393",5.19,2206,"2016-01-31",14286
"3329","394",7.6,3372,"2016-01-31",16984
"3330","395",2.05,2179,"2016-01-31",4261
"3331","396",4.94,2524,"2016-01-31",12062
"3332","397",2.9,2814,"2016-01-31",2773
"3333","398",3.54,3114,"2016-01-31",14170
"3334","399",9.44,3777,"2016-01-31",3409
"3335","4",7.6,3052,"2016-01-31",17774
"3336","40",8.14,3664,"2016-01-31",4686
"3337","400",4.57,2957,"2016-01-31",4934
"3338","401",6.83,2148,"2016-01-31",18097
"3339","402",7.65,3146,"2016-01-31",15141
"3340","403",2.35,2970,"2016-01-31",9629
"3341","404",10.87,3652,"2016-01-31",16431
"3342","405",3.03,3506,"2016-01-31",19957
"3343","406",3.93,3321,"2016-01-31",18878
"3344","407",8.87,2698,"2016-01-31",2106
"3345","408",4.64,2167,"2016-01-31",3672
"3346","409",5.56,3049,"2016-01-31",20224
"3347","41",7.13,2579,"2016-01-31",17283
"3348","410",5.28,2694,"2016-01-31",18249
"3349","411",6.82,2836,"2016-01-31",10869
"3350","412",9.07,3237,"2016-01-31",22377
"3351","413",5.59,2084,"2016-01-31",23114
"3352","414",7.75,2742,"2016-01-31",5414
"3353","415",7.46,3377,"2016-01-31",23151
"3354","416",9.69,2925,"2016-01-31",14339
"3355","417",4.9,3980,"2016-01-31",13227
"3356","418",2.11,3102,"2016-01-31",19691
"3357","419",8.03,3349,"2016-01-31",17865
"3358","42",4.93,3703,"2016-01-31",21369
"3359","420",7.55,3106,"2016-01-31",11913
"3360","421",3.85,3025,"2016-01-31",5808
"3361","422",9.65,3713,"2016-01-31",6189
"3362","423",9.69,3766,"2016-01-31",12855
"3363","424",7.4,2872,"2016-01-31",1194
"3364","425",10.78,3537,"2016-01-31",5221
"3365","426",6.75,2780,"2016-01-31",23722
"3366","427",10.91,2305,"2016-01-31",22325
"3367","428",4.21,3478,"2016-01-31",94
"3368","429",5.25,2468,"2016-01-31",7584
"3369","43",2.38,3373,"2016-01-31",2709
"3370","430",7.84,2974,"2016-01-31",6106
"3371","431",5.2,3005,"2016-01-31",19887
"3372","432",4.17,2266,"2016-01-31",5296
"3373","433",5.01,3224,"2016-01-31",22320
"3374","434",6.43,2591,"2016-01-31",18608
"3375","435",4.41,3825,"2016-01-31",23762
"3376","436",14.05,2581,"2016-01-31",7318
"3377","437",9.26,3468,"2016-01-31",19898
"3378","438",10.57,3526,"2016-01-31",7944
"3379","439",8.44,3384,"2016-01-31",21840
"3380","44",4.07,2059,"2016-01-31",22929
"3381","440",9.76,3005,"2016-01-31",16203
"3382","441",10.99,2424,"2016-01-31",11232
"3383","442",9.14,2009,"2016-01-31",17535
"3384","443",5.82,3314,"2016-01-31",5328
"3385","444",1.77,2870,"2016-01-31",1863
"3386","445",1.53,2781,"2016-01-31",13323
"3387","446",9.8,2755,"2016-01-31",5151
"3388","447",8.4,2906,"2016-01-31",20203
"3389","448",9.82,2410,"2016-01-31",14065
"3390","449",11.59,3054,"2016-01-31",19339
"3391","45",3.96,3131,"2016-01-31",20181
"3392","450",4.84,3208,"2016-01-31",5696
"3393","451",7.57,3254,"2016-01-31",11460
"3394","452",9.11,1814,"2016-01-31",2832
"3395","453",9.62,3522,"2016-01-31",21322
"3396","454",2.35,3480,"2016-01-31",10479
"3397","455",8.07,2609,"2016-01-31",17534
"3398","456",6.8,3042,"2016-01-31",10731
"3399","457",7.83,3223,"2016-01-31",803
"3400","458",5.03,3314,"2016-01-31",6933
"3401","459",8.06,2563,"2016-01-31",19290
"3402","46",7.92,3327,"2016-01-31",5592
"3403","460",5.17,3690,"2016-01-31",10647
"3404","461",3.02,2998,"2016-01-31",20804
"3405","462",1.98,2915,"2016-01-31",2924
"3406","463",6.03,2509,"2016-01-31",3392
"3407","464",3.25,2561,"2016-01-31",16650
"3408","465",5.53,2723,"2016-01-31",12924
"3409","466",2.42,3005,"2016-01-31",20562
"3410","467",3.22,2569,"2016-01-31",14465
"3411","468",5.02,2970,"2016-01-31",18686
"3412","469",4.28,3685,"2016-01-31",23107
"3413","47",1.8,3406,"2016-01-31",19752
"3414","470",2.78,2572,"2016-01-31",625
"3415","471",3.15,3195,"2016-01-31",6615
"3416","472",2.6,2138,"2016-01-31",19550
"3417","473",10.5,2838,"2016-01-31",13264
"3418","474",6.79,3082,"2016-01-31",14524
"3419","475",8.29,3057,"2016-01-31",8123
"3420","476",7.64,1993,"2016-01-31",4149
"3421","477",8.73,2513,"2016-01-31",15825
"3422","478",10.98,2700,"2016-01-31",17154
"3423","479",8.69,3197,"2016-01-31",10589
"3424","48",7.16,3301,"2016-01-31",15464
"3425","480",11.08,2905,"2016-01-31",8826
"3426","481",3.69,2779,"2016-01-31",11606
"3427","482",4.49,2426,"2016-01-31",5968
"3428","483",3.4,3276,"2016-01-31",17249
"3429","484",5.52,3011,"2016-01-31",15626
"3430","485",1.91,2526,"2016-01-31",16738
"3431","486",2.77,2643,"2016-01-31",4777
"3432","487",3.37,4092,"2016-01-31",13487
"3433","488",5.1,2367,"2016-01-31",11824
"3434","489",4.01,2962,"2016-01-31",16513
"3435","49",7.93,2258,"2016-01-31",22634
"3436","490",6.28,2514,"2016-01-31",12048
"3437","491",2.09,1992,"2016-01-31",11229
"3438","492",6.02,3802,"2016-01-31",6953
"3439","493",10.91,2686,"2016-01-31",6040
"3440","494",11.54,3609,"2016-01-31",21888
"3441","495",6.89,2948,"2016-01-31",18129
"3442","496",6.78,3726,"2016-01-31",11737
"3443","497",2.15,2737,"2016-01-31",1573
"3444","498",6.57,1868,"2016-01-31",14498
"3445","499",7.61,2767,"2016-01-31",10419
"3446","5",6.27,3417,"2016-01-31",16323
"3447","50",3.04,3385,"2016-01-31",12087
"3448","500",9.16,3036,"2016-01-31",8022
"3449","501",3.42,2300,"2016-01-31",11253
"3450","502",13.19,2190,"2016-01-31",20098
"3451","503",8.76,2673,"2016-01-31",18131
"3452","504",5.29,3609,"2016-01-31",6753
"3453","505",2.09,2095,"2016-01-31",3880
"3454","506",4.86,2582,"2016-01-31",11461
"3455","507",9.17,3027,"2016-01-31",2347
"3456","508",3.13,1926,"2016-01-31",3958
"3457","509",11.14,2689,"2016-01-31",7752
"3458","51",3.7,3194,"2016-01-31",22782
"3459","510",4.43,2371,"2016-01-31",18918
"3460","511",5.52,2633,"2016-01-31",6587
"3461","512",8.95,2489,"2016-01-31",343
"3462","513",8.07,3074,"2016-01-31",9032
"3463","514",8.41,3338,"2016-01-31",21358
"3464","515",9.82,2471,"2016-01-31",10098
"3465","516",10.44,2098,"2016-01-31",8770
"3466","517",4.79,2432,"2016-01-31",6199
"3467","518",8.33,2078,"2016-01-31",16080
"3468","519",11.64,2660,"2016-01-31",3947
"3469","52",7.44,2372,"2016-01-31",21331
"3470","520",0.39,3239,"2016-01-31",13838
"3471","521",8.94,2926,"2016-01-31",15863
"3472","522",6.95,3411,"2016-01-31",10462
"3473","523",5.5,3304,"2016-01-31",21210
"3474","524",8.6,2770,"2016-01-31",3394
"3475","525",4.99,2588,"2016-01-31",11533
"3476","526",8.3,2719,"2016-01-31",14219
"3477","527",0.26,1812,"2016-01-31",18565
"3478","528",1.72,3417,"2016-01-31",19811
"3479","529",8.47,3223,"2016-01-31",16439
"3480","53",6.53,2276,"2016-01-31",11301
"3481","530",8.31,3362,"2016-01-31",14312
"3482","531",7.97,2221,"2016-01-31",11451
"3483","532",9.57,3138,"2016-01-31",18272
"3484","533",8.5,2650,"2016-01-31",6748
"3485","534",7.13,3301,"2016-01-31",3310
"3486","535",7.65,3595,"2016-01-31",23743
"3487","536",0.43,2956,"2016-01-31",11742
"3488","537",7.01,2789,"2016-01-31",8485
"3489","538",2.73,2383,"2016-01-31",7079
"3490","539",8.52,3910,"2016-01-31",5389
"3491","54",9.29,2246,"2016-01-31",16821
"3492","540",5.64,2631,"2016-01-31",13716
"3493","541",5.15,3595,"2016-01-31",21859
"3494","542",2.43,1674,"2016-01-31",3236
"3495","543",2.84,2005,"2016-01-31",7912
"3496","544",8.5,3091,"2016-01-31",12375
"3497","545",2.85,2328,"2016-01-31",19226
"3498","546",9.34,3203,"2016-01-31",16393
"3499","547",8.89,3817,"2016-01-31",12521
"3500","548",8.39,2420,"2016-01-31",10097
"3501","549",6.67,3173,"2016-01-31",1236
"3502","55",2.28,3232,"2016-01-31",9767
"3503","550",8,3315,"2016-01-31",14638
"3504","551",10.87,2664,"2016-01-31",2164
"3505","552",3.4,2535,"2016-01-31",3095
"3506","553",5.84,2335,"2016-01-31",19392
"3507","554",1.65,2965,"2016-01-31",3358
"3508","555",6.78,3063,"2016-01-31",20334
"3509","556",5.5,2746,"2016-01-31",9379
"3510","557",3.12,3464,"2016-01-31",1319
"3511","558",4.33,3917,"2016-01-31",19635
"3512","559",6.62,2367,"2016-01-31",19775
"3513","56",4.92,2281,"2016-01-31",19217
"3514","560",4.17,2908,"2016-01-31",18092
"3515","561",6.97,3377,"2016-01-31",12774
"3516","562",4.36,3293,"2016-01-31",22387
"3517","563",2.56,2849,"2016-01-31",23487
"3518","564",10.17,3390,"2016-01-31",3016
"3519","565",2.01,3461,"2016-01-31",9942
"3520","566",3.76,3387,"2016-01-31",19573
"3521","567",1.81,1748,"2016-01-31",12847
"3522","568",8.75,3762,"2016-01-31",16087
"3523","569",8.18,2306,"2016-01-31",20304
"3524","57",5.25,2979,"2016-01-31",20502
"3525","570",9.64,2661,"2016-01-31",1256
"3526","571",9.74,2564,"2016-01-31",4883
"3527","572",8.51,3299,"2016-01-31",17728
"3528","573",5.24,3336,"2016-01-31",11232
"3529","574",7.69,2614,"2016-01-31",21885
"3530","575",2.95,2129,"2016-01-31",4830
"3531","576",2.12,3537,"2016-01-31",7481
"3532","577",5.15,3614,"2016-01-31",21767
"3533","578",4,2878,"2016-01-31",11940
"3534","579",4.98,3269,"2016-01-31",4204
"3535","58",7.24,3323,"2016-01-31",21888
"3536","580",7.74,2813,"2016-01-31",11306
"3537","581",7.16,2235,"2016-01-31",11064
"3538","582",4.54,3221,"2016-01-31",11652
"3539","583",4.25,2772,"2016-01-31",15680
"3540","584",2.59,2962,"2016-01-31",2786
"3541","585",7.93,1937,"2016-01-31",11
"3542","586",1.37,3591,"2016-01-31",16025
"3543","587",7.24,2718,"2016-01-31",855
"3544","588",2.02,2843,"2016-01-31",11533
"3545","589",4.39,2155,"2016-01-31",15454
"3546","59",8.05,3353,"2016-01-31",21529
"3547","590",8.52,3471,"2016-01-31",23358
"3548","591",3.04,3741,"2016-01-31",13598
"3549","592",8.49,3495,"2016-01-31",2019
"3550","593",11.81,2762,"2016-01-31",8614
"3551","594",5.61,2335,"2016-01-31",20780
"3552","595",8.9,2080,"2016-01-31",10295
"3553","596",8.24,3778,"2016-01-31",5921
"3554","597",2.01,3248,"2016-01-31",19522
"3555","598",4.77,3515,"2016-01-31",12742
"3556","599",6.85,3429,"2016-01-31",18565
"3557","6",5.67,3041,"2016-01-31",21800
"3558","60",10.38,2616,"2016-01-31",22838
"3559","600",4.39,2819,"2016-01-31",22048
"3560","601",8.45,3670,"2016-01-31",3163
"3561","602",4.24,2457,"2016-01-31",19615
"3562","603",5.23,2937,"2016-01-31",2128
"3563","604",0.93,2356,"2016-01-31",15214
"3564","605",1.33,3589,"2016-01-31",23131
"3565","606",7.32,2667,"2016-01-31",9179
"3566","607",3.44,2396,"2016-01-31",10590
"3567","608",6.66,3455,"2016-01-31",1637
"3568","609",2.32,3006,"2016-01-31",1382
"3569","61",2.28,3499,"2016-01-31",5789
"3570","610",2.06,3652,"2016-01-31",1040
"3571","611",9.68,2256,"2016-01-31",9512
"3572","612",5.04,3133,"2016-01-31",23659
"3573","613",8.63,3134,"2016-01-31",13180
"3574","614",9.52,2861,"2016-01-31",15967
"3575","615",6.96,3581,"2016-01-31",13966
"3576","616",2.44,2664,"2016-01-31",20381
"3577","617",4.66,2805,"2016-01-31",15318
"3578","618",8.98,3069,"2016-01-31",14113
"3579","619",10.01,2591,"2016-01-31",10438
"3580","62",3.67,2158,"2016-01-31",23760
"3581","620",12.03,3014,"2016-01-31",13996
"3582","621",9.49,2448,"2016-01-31",11939
"3583","622",2.43,2505,"2016-01-31",2659
"3584","623",6.19,2982,"2016-01-31",12775
"3585","624",11.63,2574,"2016-01-31",806
"3586","625",2.58,2200,"2016-01-31",10371
"3587","626",5.02,1691,"2016-01-31",8707
"3588","627",5.32,2044,"2016-01-31",23058
"3589","628",2.87,2403,"2016-01-31",20175
"3590","629",3.14,3129,"2016-01-31",9482
"3591","63",4.7,2103,"2016-01-31",21554
"3592","630",7.43,2760,"2016-01-31",16729
"3593","631",2.77,3304,"2016-01-31",11202
"3594","632",9.65,2474,"2016-01-31",7309
"3595","633",8.54,2538,"2016-01-31",7828
"3596","634",6.96,2582,"2016-01-31",607
"3597","635",6.15,1595,"2016-01-31",10281
"3598","636",4.76,3205,"2016-01-31",16539
"3599","637",3.37,3400,"2016-01-31",11620
"3600","638",4.81,3736,"2016-01-31",10367
"3601","639",6.21,3110,"2016-01-31",20501
"3602","64",13.19,1651,"2016-01-31",2707
"3603","640",8.44,2569,"2016-01-31",2344
"3604","641",3.8,2897,"2016-01-31",23051
"3605","642",4.24,3165,"2016-01-31",1114
"3606","643",7.63,2520,"2016-01-31",11451
"3607","644",9.88,3129,"2016-01-31",18163
"3608","645",1.75,3701,"2016-01-31",11040
"3609","646",3.4,2721,"2016-01-31",17004
"3610","647",6.99,2135,"2016-01-31",11809
"3611","648",10.86,2064,"2016-01-31",17126
"3612","649",6.05,2969,"2016-01-31",19760
"3613","65",9.43,3427,"2016-01-31",23956
"3614","650",3.61,2290,"2016-01-31",2765
"3615","651",3.48,3023,"2016-01-31",13029
"3616","652",2.9,2369,"2016-01-31",5552
"3617","653",12.22,2717,"2016-01-31",5502
"3618","654",3.4,3349,"2016-01-31",2154
"3619","655",5.2,2675,"2016-01-31",19642
"3620","656",11.77,3201,"2016-01-31",23895
"3621","657",6.45,2550,"2016-01-31",21480
"3622","658",11.71,2658,"2016-01-31",19746
"3623","659",4.92,2892,"2016-01-31",8192
"3624","66",7.62,2230,"2016-01-31",21611
"3625","660",2.53,2663,"2016-01-31",12367
"3626","661",7.14,4182,"2016-01-31",12256
"3627","662",8,2675,"2016-01-31",21604
"3628","663",6.34,2448,"2016-01-31",9810
"3629","664",7.73,3409,"2016-01-31",13863
"3630","665",8.7,2496,"2016-01-31",17400
"3631","666",9.77,2258,"2016-01-31",17437
"3632","667",8.02,2998,"2016-01-31",7287
"3633","668",8.97,2608,"2016-01-31",1392
"3634","669",3.83,3152,"2016-01-31",19712
"3635","67",8.13,2957,"2016-01-31",12688
"3636","670",8.42,2377,"2016-01-31",8003
"3637","671",8.33,2536,"2016-01-31",10407
"3638","672",9.32,2665,"2016-01-31",20837
"3639","673",3.26,2819,"2016-01-31",7414
"3640","674",4.11,2818,"2016-01-31",12060
"3641","675",3.87,2273,"2016-01-31",4510
"3642","676",13.21,2534,"2016-01-31",23012
"3643","677",6.11,3095,"2016-01-31",17145
"3644","678",6.44,3771,"2016-01-31",3370
"3645","679",6.53,3193,"2016-01-31",21165
"3646","68",5.4,3025,"2016-01-31",417
"3647","680",3.23,3645,"2016-01-31",22320
"3648","681",4.93,2327,"2016-01-31",11207
"3649","682",10.02,3181,"2016-01-31",14408
"3650","683",5.12,2712,"2016-01-31",7021
"3651","684",4.87,3136,"2016-01-31",13353
"3652","685",0.7,3142,"2016-01-31",3757
"3653","686",9.89,2161,"2016-01-31",15460
"3654","687",5.35,2240,"2016-01-31",17967
"3655","688",2.14,3810,"2016-01-31",5235
"3656","689",5.49,2322,"2016-01-31",15118
"3657","69",7.99,3444,"2016-01-31",16363
"3658","690",6.31,2917,"2016-01-31",15675
"3659","691",0.53,3429,"2016-01-31",423
"3660","692",6.49,3301,"2016-01-31",19011
"3661","693",2.67,3161,"2016-01-31",1810
"3662","694",0.12,2666,"2016-01-31",7263
"3663","695",5.83,2078,"2016-01-31",7845
"3664","696",3.19,2549,"2016-01-31",1974
"3665","697",4.23,3631,"2016-01-31",17704
"3666","698",3.95,3506,"2016-01-31",4900
"3667","699",7.78,2057,"2016-01-31",22855
"3668","7",9.62,2179,"2016-01-31",12746
"3669","70",5.24,2045,"2016-01-31",16260
"3670","700",4.37,3695,"2016-01-31",21775
"3671","701",4.52,2806,"2016-01-31",10712
"3672","702",5.56,2832,"2016-01-31",14204
"3673","703",10.29,2433,"2016-01-31",9340
"3674","704",3.11,2959,"2016-01-31",18783
"3675","705",3.92,3240,"2016-01-31",9878
"3676","706",9.81,1816,"2016-01-31",4610
"3677","707",6.32,2596,"2016-01-31",18455
"3678","708",5.21,3477,"2016-01-31",2821
"3679","709",12.49,2923,"2016-01-31",8460
"3680","71",4.41,2672,"2016-01-31",20861
"3681","710",3.43,3146,"2016-01-31",10506
"3682","711",7.96,3453,"2016-01-31",1719
"3683","712",8.54,2239,"2016-01-31",21403
"3684","713",6.44,3285,"2016-01-31",8947
"3685","714",2.93,1799,"2016-01-31",23952
"3686","715",7.18,3161,"2016-01-31",13913
"3687","716",3.15,2877,"2016-01-31",10461
"3688","717",5.24,2337,"2016-01-31",14714
"3689","718",1.59,1945,"2016-01-31",1023
"3690","719",7.03,2969,"2016-01-31",11192
"3691","72",7.1,3370,"2016-01-31",4977
"3692","720",4.77,3196,"2016-01-31",21713
"3693","721",5.34,2316,"2016-01-31",2410
"3694","722",2.89,2558,"2016-01-31",8127
"3695","723",6.86,3265,"2016-01-31",8119
"3696","724",5.6,1918,"2016-01-31",2569
"3697","725",10.07,3486,"2016-01-31",5913
"3698","726",8.03,3094,"2016-01-31",7971
"3699","727",6.18,2652,"2016-01-31",7752
"3700","728",13.18,2868,"2016-01-31",15708
"3701","729",6.62,3833,"2016-01-31",13090
"3702","73",13.3,2896,"2016-01-31",19895
"3703","730",5.35,2512,"2016-01-31",16882
"3704","731",7.5,3291,"2016-01-31",15742
"3705","732",10.38,2491,"2016-01-31",4288
"3706","733",8.21,3035,"2016-01-31",21324
"3707","734",12.04,2535,"2016-01-31",19560
"3708","735",8.13,3388,"2016-01-31",4047
"3709","736",7.17,3444,"2016-01-31",10959
"3710","737",10.2,2310,"2016-01-31",7985
"3711","738",0.89,3524,"2016-01-31",12206
"3712","739",10.82,2909,"2016-01-31",12401
"3713","74",3.27,3089,"2016-01-31",22358
"3714","740",5.72,2048,"2016-01-31",22627
"3715","741",6.14,2820,"2016-01-31",18688
"3716","742",5.77,2420,"2016-01-31",20692
"3717","743",3.17,2406,"2016-01-31",1374
"3718","744",7.65,1927,"2016-01-31",9301
"3719","745",6.39,2503,"2016-01-31",14103
"3720","746",6.12,3096,"2016-01-31",11453
"3721","747",7.55,4070,"2016-01-31",8941
"3722","748",11.97,1758,"2016-01-31",2863
"3723","749",3.41,2682,"2016-01-31",2632
"3724","75",3.85,3293,"2016-01-31",14435
"3725","750",7.75,2566,"2016-01-31",20789
"3726","751",7,3462,"2016-01-31",14577
"3727","752",9.44,2848,"2016-01-31",23610
"3728","753",1.28,2575,"2016-01-31",22734
"3729","754",5.82,2575,"2016-01-31",4616
"3730","755",9.84,3423,"2016-01-31",15378
"3731","756",1.87,2665,"2016-01-31",15775
"3732","757",3.87,2746,"2016-01-31",2560
"3733","758",6.44,3224,"2016-01-31",8662
"3734","759",6.93,2410,"2016-01-31",21684
"3735","76",12.79,2246,"2016-01-31",17409
"3736","760",9.87,2827,"2016-01-31",6067
"3737","761",8.87,2190,"2016-01-31",10113
"3738","762",1.84,2907,"2016-01-31",1732
"3739","763",4.9,2994,"2016-01-31",17181
"3740","764",7.83,2124,"2016-01-31",23951
"3741","765",3.86,2982,"2016-01-31",1871
"3742","766",7.54,3295,"2016-01-31",1622
"3743","767",4.55,2592,"2016-01-31",14085
"3744","768",2.83,3243,"2016-01-31",11100
"3745","769",6.99,3081,"2016-01-31",19233
"3746","77",2.24,2610,"2016-01-31",17121
"3747","770",7.41,3732,"2016-01-31",10525
"3748","771",6.54,2495,"2016-01-31",8692
"3749","772",3.56,4015,"2016-01-31",12675
"3750","773",8.4,2268,"2016-01-31",21034
"3751","774",0.64,2511,"2016-01-31",19975
"3752","775",3.27,2737,"2016-01-31",8803
"3753","776",10.75,2871,"2016-01-31",23672
"3754","777",3.38,2501,"2016-01-31",12943
"3755","778",5.36,3238,"2016-01-31",5065
"3756","779",4.23,2475,"2016-01-31",1017
"3757","78",8.45,1895,"2016-01-31",19052
"3758","780",6.19,3775,"2016-01-31",13413
"3759","781",6.79,2835,"2016-01-31",357
"3760","782",6.48,3780,"2016-01-31",5259
"3761","783",1.35,2802,"2016-01-31",17768
"3762","784",6.61,2548,"2016-01-31",1852
"3763","785",7.96,3203,"2016-01-31",10698
"3764","786",11.68,2633,"2016-01-31",14040
"3765","787",8.24,2800,"2016-01-31",16099
"3766","788",6.18,2861,"2016-01-31",2573
"3767","789",3.78,3900,"2016-01-31",13387
"3768","79",4.33,2160,"2016-01-31",15868
"3769","790",3.01,3430,"2016-01-31",3544
"3770","791",9.39,3138,"2016-01-31",16798
"3771","792",6.79,2360,"2016-01-31",21340
"3772","793",6.4,3301,"2016-01-31",19503
"3773","794",8.86,3325,"2016-01-31",5921
"3774","795",8.37,3002,"2016-01-31",10964
"3775","796",6.97,3832,"2016-01-31",15857
"3776","797",5.04,2436,"2016-01-31",9534
"3777","798",8.71,1751,"2016-01-31",21108
"3778","799",1.82,2879,"2016-01-31",16688
"3779","8",9.17,2934,"2016-01-31",10721
"3780","80",6.09,4057,"2016-01-31",15097
"3781","800",4.39,3055,"2016-01-31",23671
"3782","801",10.7,2495,"2016-01-31",20466
"3783","802",7.75,3026,"2016-01-31",2198
"3784","803",5.2,2906,"2016-01-31",17923
"3785","804",7.85,2622,"2016-01-31",13030
"3786","805",3.9,2509,"2016-01-31",17654
"3787","806",1.95,4086,"2016-01-31",3128
"3788","807",2.46,3374,"2016-01-31",1635
"3789","808",2.69,3106,"2016-01-31",9524
"3790","809",2.45,4009,"2016-01-31",8338
"3791","81",8.22,3495,"2016-01-31",3323
"3792","810",7.47,3477,"2016-01-31",10741
"3793","811",9.21,3479,"2016-01-31",23348
"3794","812",3.97,2034,"2016-01-31",5743
"3795","813",9.11,2063,"2016-01-31",5605
"3796","814",3.9,3400,"2016-01-31",13577
"3797","815",0.89,2783,"2016-01-31",6519
"3798","816",4.08,3369,"2016-01-31",23088
"3799","817",6.82,3330,"2016-01-31",16804
"3800","818",5.34,3391,"2016-01-31",7005
"3801","819",7.55,3017,"2016-01-31",15751
"3802","82",7.67,2144,"2016-01-31",4846
"3803","820",2.54,2907,"2016-01-31",7634
"3804","821",7.87,2773,"2016-01-31",5251
"3805","822",6.22,3655,"2016-01-31",18279
"3806","823",6.64,2366,"2016-01-31",15037
"3807","824",5.77,3033,"2016-01-31",1692
"3808","825",1.56,2446,"2016-01-31",12044
"3809","826",1.55,3108,"2016-01-31",1449
"3810","827",2.31,3097,"2016-01-31",5364
"3811","828",5.84,3037,"2016-01-31",11229
"3812","829",8.15,3738,"2016-01-31",147
"3813","83",9.25,3130,"2016-01-31",10216
"3814","830",12.38,2736,"2016-01-31",18962
"3815","831",3.73,2710,"2016-01-31",16610
"3816","832",9.47,3639,"2016-01-31",19140
"3817","833",1.14,4119,"2016-01-31",13768
